,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
397,0.96777777778,0.29073451327412714,0.006446446446452167,0.0022016786570791366,0.4148876065245261,0.563768115942029,0.999833333333,0.5640096618369566,0.9670000000000001,0.007866148226694946,0.9890909383232726,0.1340918203688188,1.21935906631,1.2852525477955814
71,0.6223809523806666,0.02647888748419239,0.006991481277202917,0.003679342240489209,0.3646917208940174,0.6414078674949276,0.995,0.6418219461702899,0.6222857142853333,0.011735595616825734,0.5593836994569519,0.018852674991430972,1.01457301696,1.0392957649002446
652,0.30626666666666663,0.04395823008848001,0.4526469326469327,0.45510791366906483,0.565277217490184,0.5144927536231885,0.8336,0.5142028985507247,0.3061333333333333,0.6458819370802403,0.42637468647484994,0.06149157979152425,1.13109319745,1.1399055476845994
150,0.43355555555533337,0.023378761061928006,0.008791648791643073,0.006690647482014389,0.2611009954867974,0.8925120772971016,0.9933333333329999,0.8925120772934784,0.43333333333333335,0.014160480735242136,0.28014663322389344,0.024039695268666412,1.0322804565700001,1.0165063226255184
379,0.3388888888886667,0.026421238938033123,0.012572572572578293,0.012316546762589928,0.337428978073557,0.6927536231884058,0.991,0.6932367149746377,0.33911111111066666,0.019945799458041712,0.28226895620286235,0.03495589414597632,1.02926624971,1.0178837628172452
156,0.3406666666666667,0.03530973451315563,0.00826826826826255,0.007925659472417267,0.3329920120814697,0.7020531400963769,0.9956666666670001,0.7028985507246377,0.3406666666666667,0.013474726051608342,0.2799697729752923,0.045709703288029556,1.0278408868,1.0154088958616287
525,0.43883333333333335,0.02220530973450541,0.011411411411411413,0.008510791366906476,0.2590878351213525,0.9021739130434784,0.9905,0.9030797101449277,0.439,0.01781194768469424,0.28067721396863565,0.02235565356857352,1.0133399138099999,1.0167717507580658
133,0.35791666666666666,0.4424336283184274,0.00569069069069069,0.005278776978417266,0.4873891783545169,0.4794384057971014,1.0,0.47961956521739135,0.35800000000000004,0.008867090844821493,0.4305662743583135,0.5548315958302145,1.02850954323,1.0441802043809458
554,0.4415555555553334,0.021546902654849008,0.011674531674525958,0.008690647482014388,0.2563661584882635,0.9130434782608696,0.99,0.9130434782608696,0.44177777777733335,0.019121008601385648,0.279085471734409,0.02166399358459971,1.03349494207,1.0180744813335367
170,0.32,0.024166877370394985,0.00893791750934363,0.009200411099697842,0.3545995919701492,0.6591097308485507,0.993285714286,0.6589026915108696,0.32,0.018572943493404027,0.27999503872524406,0.03363271852447219,1.03110120061,1.021467892093685
